S.NO,STATES,YEAR,RAPE,KIDNAP & ABDUCTION,DOWRY DEATHS,CRUETLY BY HUSBAND OR HIS RELATIVES,HUMAN TRAFFICKING,ASSAULT ON MODESTY,SEXUAL HARRASSMENT,others,tot
1,Andhra Pradesh,2011,1442,1612,599,13376,0,0,3658,497,28246
2,Arunachal Pradesh,2011,42,60,0,18,0,0,0,0,171
3,Assam,2011,1700,3192,121,5246,2,0,8,21,11503
4,Bihar,2011,934,3050,1413,2607,10,0,11,23,10231
5,Chhattisgarh,2011,1053,365,104,834,2,0,174,15,4219
6,Goa,2011,29,17,1,18,0,0,12,18,127
7,Gujarat,2011,439,1442,30,6052,0,0,93,46,8815
8,Haryana,2011,733,733,255,2740,0,0,490,57,5491
9,Himachal Pradesh,2011,168,191,4,239,0,0,62,2,997
10,Jammu & Kashmir,2011,277,1023,11,286,0,0,350,1,3146
11,Jharkhand,2011,784,660,282,659,6,0,7,15,3132
12,Karnataka,2011,636,715,267,3712,12,0,81,351,9594
13,Kerala,2011,1132,221,15,5377,0,0,573,197,11288
14,Madhya Pradesh,2011,3406,1088,811,3732,45,0,762,24,16599
15,Maharashtra,2011,1701,1252,339,7136,0,0,1071,390,15728
16,Manipur,2011,53,116,1,39,0,0,0,0,247
17,Meghalaya,2011,130,37,1,21,3,0,1,2,269
18,Mizoram,2011,77,0,0,9,0,0,1,8,167
19,Nagaland,2011,23,3,0,1,0,0,0,2,38
20,Odisha,2011,1112,1008,465,2320,0,0,235,23,9433
21,Punjab,2011,479,517,143,1136,0,0,31,50,2641
22,Rajasthan,2011,1800,2713,514,12218,0,0,9,81,19888
23,Sikkim,2011,16,10,0,4,0,0,0,1,55
24,Tamil Nadu,2011,677,1743,152,1812,0,0,464,420,6940
25,Telangana,2011,0,0,0,0,0,0,0,0,0
26,Tripura,2011,205,116,30,702,0,0,9,2,1358
27,Uttar Pradesh,2011,2042,7525,2322,7121,0,0,3,43,22639
28,Uttarakhand,2011,129,283,83,307,0,0,72,3,996
29,West Bengal,2011,2363,3711,510,19772,0,0,200,96,29133
30,A & N Islands,2011,13,12,0,5,0,0,3,3,51
31,Chandigarh,2011,27,46,2,46,3,0,12,1,156
32,D&N Haveli,2011,4,8,0,3,12,0,0,1,18
33,Daman & Diu,2011,1,2,0,2,0,0,0,6,11
34,Delhi UT,2011,572,2085,142,1575,0,0,162,33,5234
35,Lakshadweep,2011,0,0,0,0,162,0,0,0,162
36,Puducherry,2011,7,9,1,10,0,0,16,3,89
1,Andhra Pradesh,2012,1341,1403,504,13389,0,4816,3714,472,28171
2,Arunachal Pradesh,2012,46,58,1,26,0,67,2,1,201
3,Assam,2012,1716,3360,140,6407,2,1840,5,30,13544
4,Bihar,2012,927,3789,1275,3686,4,118,37,35,11229
5,Chhattisgarh,2012,1034,350,81,980,0,1601,162,5,4228
6,Goa,2012,55,16,0,24,0,49,16,40,200
7,Gujarat,2012,473,1527,21,6658,0,745,93,44,9561
8,Haryana,2012,668,900,258,3137,0,525,434,69,6002
9,Himachal Pradesh,2012,183,152,2,251,0,250,68,6,912
10,Jammu & Kashmir,2012,303,1041,8,301,0,1322,347,3,3328
11,Jharkhand,2012,812,786,302,1261,3,284,10,12,4536
12,Karnataka,2012,621,1070,218,3684,32,2978,100,335,10366
13,Kerala,2012,1019,214,32,5216,0,3735,498,210,10930
14,Madhya Pradesh,2012,3425,1127,743,3988,6,6655,774,13,16832
15,Maharashtra,2012,1839,1140,329,7415,0,3935,1294,366,16353
16,Manipur,2012,63,133,0,43,0,49,1,15,304
17,Meghalaya,2012,164,24,1,16,0,43,0,7,255
18,Mizoram,2012,103,3,0,8,0,85,0,0,199
19,Nagaland,2012,21,10,0,0,0,16,0,4,51
20,Odisha,2012,1458,1364,525,2638,0,4187,304,24,11988
21,Punjab,2012,680,689,118,1293,0,340,31,86,3238
22,Rajasthan,2012,2049,2697,478,13312,0,2352,18,99,21106
23,Sikkim,2012,34,10,1,4,0,19,0,0,68
24,Tamil Nadu,2012,737,1693,110,1965,0,1494,382,500,7192
25,Telangana,2012,0,0,0,0,0,0,0,0,0
26,Tripura,2012,229,114,37,858,0,314,7,0,1559
27,Uttar Pradesh,2012,1963,7910,2244,7661,0,3247,8,31,23569
28,Uttarakhand,2012,148,256,71,368,0,139,73,12,1067
29,West Bengal,2012,2046,4168,593,19865,12,3345,556,109,30942
30,A & N Islands,2012,12,7,2,5,0,10,4,2,49
31,Chandigarh,2012,27,66,5,73,0,45,25,0,241
32,D&N Haveli,2012,3,9,0,0,0,2,0,2,16
33,Daman & Diu,2012,5,0,0,3,0,0,0,3,11
34,Delhi UT,2012,706,2160,134,1985,0,727,208,24,5959
35,Lakshadweep,2012,0,0,0,1,0,1,0,0,2
36,Puducherry,2012,13,16,0,6,0,9,2,4,61
1,Andhra Pradesh,2013,1635,1595,492,15084,0,6930,4702,489,32809
2,Arunachal Pradesh,2013,75,86,0,29,0,93,3,2,288
3,Assam,2013,1937,4222,170,8636,2,2409,14,18,17449
4,Bihar,2013,1128,4419,1182,4533,7,331,52,64,13609
5,Chhattisgarh,2013,1380,1881,109,1181,1,2261,180,8,7012
6,Goa,2013,86,70,0,40,0,162,54,28,440
7,Gujarat,2013,732,2230,29,7812,0,1243,77,76,12283
8,Haryana,2013,971,1957,263,3617,2,1560,643,63,9089
9,Himachal Pradesh,2013,250,290,0,328,0,493,111,4,1478
10,Jammu & Kashmir,2013,378,949,7,428,0,1389,354,1,3509
11,Jharkhand,2013,1204,926,307,2084,2,524,18,11,3506
12,Karnataka,2013,1030,1359,277,3276,0,3913,137,340,12027
13,Kerala,2013,1221,185,21,4820,0,4362,404,180,11216
14,Madhya Pradesh,2013,4335,2873,776,4988,7,8252,736,22,22061
15,Maharashtra,2013,3063,1874,320,8542,0,8132,2632,289,24895
16,Manipur,2013,72,125,0,29,0,59,0,0,285
17,Meghalaya,2013,183,33,2,23,0,98,0,4,343
18,Mizoram,2013,89,2,0,5,0,81,0,0,117
19,Nagaland,2013,31,11,1,4,0,18,1,1,67
20,Odisha,2013,1832,2067,395,2792,0,4618,426,27,14713
21,Punjab,2013,888,987,126,1741,0,1045,67,137,4994
22,Rajasthan,2013,3285,4047,453,15094,1,4829,25,74,27933
23,Sikkim,2013,43,16,0,5,0,29,0,0,93
24,Tamil Nadu,2013,923,1516,118,2471,0,1271,313,549,7475
25,Telangana,2013,0,0,0,0,0,0,0,0,0
26,Tripura,2013,233,124,29,827,0,407,7,0,1682
27,Uttar Pradesh,2013,3050,9737,2335,8781,0,7303,25,37,32546
28,Uttarakhand,2013,228,633,43,435,0,295,72,13,1719
29,West Bengal,2013,1685,3830,481,18116,9,4913,577,104,29826
30,A & N Islands,2013,27,12,1,9,0,45,8,4,106
31,Chandigarh,2013,45,174,1,92,0,143,26,6,488
32,D&N Haveli,2013,5,11,0,1,0,1,1,2,21
33,Daman & Diu,2013,8,6,0,2,0,2,0,6,24
34,Delhi UT,2013,1636,3609,144,3033,0,3515,916,20,12888
35,Lakshadweep,2013,2,0,0,0,0,1,0,0,3
36,Puducherry,2013,17,25,1,8,0,12,8,0,86
1,Andhra Pradesh,2014,961,721,468,6362,0,4547,1072,204,16512
2,Arunachal Pradesh,2014,83,91,0,42,0,121,21,0,351
3,Assam,2014,1980,3895,92,9626,1,3099,458,29,19139
4,Bihar,2014,1127,4735,2203,4672,5,572,271,31,15383
5,Chhattisgarh,2014,1436,1393,8,964,0,2122,649,2,344
6,Goa,2014,95,86,0,35,0,202,50,9,488
7,Gujarat,2014,841,2187,53,5991,0,1352,405,45,10837
8,Haryana,2014,1174,1922,13,3478,0,1688,599,43,8974
9,Himachal Pradesh,2014,283,227,2,325,0,538,159,5,1517
10,Jammu & Kashmir,2014,331,813,1,467,0,1421,242,1,3321
11,Jharkhand,2014,1050,885,1538,1462,2,440,114,11,5972
12,Karnataka,2014,1324,1457,1730,3025,0,5263,253,388,13914
13,Kerala,2014,1347,143,3,4919,0,4367,980,91,11380
14,Madhya Pradesh,2014,5076,5688,113,6451,0,9609,3163,15,28678
15,Maharashtra,2014,3438,2457,39,7696,1,10001,4052,202,26693
16,Manipur,2014,75,121,0,41,0,98,5,0,337
17,Meghalaya,2014,118,38,1,42,0,105,0,3,388
18,Mizoram,2014,120,3,0,8,0,97,53,0,258
19,Nagaland,2014,30,13,0,3,0,16,5,1,67
20,Odisha,2014,1978,2436,646,3114,0,5543,802,32,14606
21,Punjab,2014,981,1176,5,1681,0,1113,344,63,5425
22,Rajasthan,2014,3759,4421,12,15905,0,5999,727,78,31151
23,Sikkim,2014,47,12,0,5,0,34,14,0,110
24,Tamil Nadu,2014,455,1502,292,2103,0,1102,46,471,6325
25,Telangana,2014,979,711,563,6369,0,3188,620,192,14136
26,Tripura,2014,239,102,1,702,0,492,82,0,1615
27,Uttar Pradesh,2014,3467,10626,2133,10471,0,8605,4435,37,38467
28,Uttarakhand,2014,270,275,104,301,0,343,22,19,1395
29,West Bengal,2014,1466,4976,1,23278,4,5670,1045,80,38299
30,A & N Islands,2014,32,17,0,14,0,41,18,1,115
31,Chandigarh,2014,59,133,2,141,0,87,31,0,432
32,D&N Haveli,2014,5,7,0,6,0,2,0,0,21
33,Daman & Diu,2014,2,1,0,1,0,3,3,8,15
34,Delhi UT,2014,2096,4034,13,3173,0,4322,1186,8,15265
35,Lakshadweep,2014,1,0,0,0,0,1,0,0,4
36,Puducherry,2014,10,7,14,4,0,32,12,1,77
1,Andhra Pradesh,2015,1027,684,174,6121,0,4616,1070,204,15931
2,Arunachal Pradesh,2015,71,128,0,66,0,101,15,2,384
3,Assam,2015,1733,5039,216,11225,0,4293,499,47,23258
4,Bihar,2015,1041,5158,1154,3792,0,198,78,21,13891
5,Chhattisgarh,2015,1560,1354,89,620,0,1868,507,4,5720
6,Goa,2015,86,70,0,19,0,150,58,3,365
7,Gujarat,2015,503,1569,12,4133,0,1164,536,35,7762
8,Haryana,2015,1070,2336,243,3525,0,1886,688,44,9446
9,Himachal Pradesh,2015,244,239,2,226,0,434,99,6,1289
10,Jammu & Kashmir,2015,296,1071,6,400,0,1343,244,0,3363
11,Jharkhand,2015,1053,930,267,1654,0,844,531,3,6518
12,Karnataka,2015,589,1611,254,2732,0,5112,535,420,12705
13,Kerala,2015,1256,192,8,3668,0,3987,1145,135,9708
14,Madhya Pradesh,2015,4391,4547,664,5281,0,8049,2559,25,24135
15,Maharashtra,2015,4144,5096,268,7640,0,11713,4751,381,31126
16,Manipur,2015,46,94,0,39,0,84,2,0,266
17,Meghalaya,2015,93,58,1,44,0,95,22,0,334
18,Mizoram,2015,58,8,0,9,0,75,53,0,158
19,Nagaland,2015,35,30,0,4,0,8,6,3,90
20,Odisha,2015,2251,2587,356,3605,0,6499,886,35,17144
21,Punjab,2015,886,1253,85,1583,0,1123,400,69,5291
22,Rajasthan,2015,3644,4167,463,14383,0,4813,649,86,28165
23,Sikkim,2015,5,21,1,2,0,21,5,0,53
24,Tamil Nadu,2015,421,1335,65,1900,0,1163,197,491,5847
25,Telangana,2015,1105,648,262,7329,0,3608,620,252,15135
26,Tripura,2015,213,120,28,501,0,352,28,2,1267
27,Uttar Pradesh,2015,3025,10135,2335,8660,0,7885,5925,33,35527
28,Uttarakhand,2015,283,336,54,407,2,318,51,18,1453
29,West Bengal,2015,1199,3938,498,20163,4,5069,674,101,33218
30,A & N Islands,2015,36,21,0,14,0,57,23,0,136
31,Chandigarh,2015,72,165,5,126,0,76,22,0,463
32,D&N Haveli,2015,8,9,1,2,0,5,0,0,25
33,Daman & Diu,2015,5,13,0,3,0,7,3,0,28
34,Delhi UT,2015,2199,4301,122,3521,0,5367,1150,3,17104
35,Lakshadweep,2015,0,0,0,2,0,6,0,0,9
36,Puducherry,2015,3,14,1,4,0,33,10,1,80
1,Andhra Pradesh,2016,994,626,193,6461,31,4829,1305,186,16362
2,Arunachal Pradesh,2016,92,85,1,50,1,109,4,0,367
3,Assam,2016,1779,5339,157,9321,67,3378,677,65,20869
4,Bihar,2016,1008,5496,987,3794,9,324,124,50,13400
5,Chhattisgarh,2016,1626,1447,84,622,28,1770,244,17,5947
6,Goa,2016,61,69,2,23,35,143,41,3,371
7,Gujarat,2016,982,2146,12,3732,0,1224,473,76,8532
8,Haryana,2016,1187,2697,260,3313,11,1860,699,59,9839
